"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","8.99",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.06",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","1255976347",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","8.56",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","0.17",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","s","1.18",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","23.34",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","8.56",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","207896534.90",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","1.54",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.0 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved 0% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","PM Sampling","Maximum Buffer Size","Mbyte","76.35",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","PM Sampling","Maximum Sampling Interval","us","256",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","PM Sampling","# Pass Groups","","2",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.29",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.05",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","Compute Workload Analysis","Issue Slots Busy","%","1.20",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.29",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","Compute Workload Analysis","SM Busy","%","1.36",
"0","45836","onpair-chunk-bench","127.0.0.1","onpair_u64","1","14","(64, 1, 1)","(77, 1, 1)","0","8.9","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","98.64"
